A00_ID;REDE;SUBREDE;REDE FIDELIDADE;CNPJ_CPF
801;CARREFOUR;-;-;45543915031818
809;CARREFOUR;-;-;45543915030412
9608;CARREFOUR;-;-;13004510035802
9611;CARREFOUR;-;-;13004510025920
10939;CARREFOUR;-;-;13004510028601
172;CENTERBOX;-;-;3539462000170
182;CENTERBOX;-;-;3539462000501
196;CENTERBOX;-;-;3539462000684
212;CENTERBOX;-;-;3539462000412
224;CENTERBOX;-;-;3539462000331
465;CENTERBOX;-;-;11497712000265
663;CENTERBOX;-;-;3539462000250
862;CENTERBOX;-;-;7418957000100
972;CENTERBOX;-;-;11497712000184
3166;CENTERBOX;-;-;11497712000346
3486;CENTERBOX;-;-;11497712000770
4202;CENTERBOX;-;-;11497712000427
4293;CENTERBOX;-;-;11497712000699
4458;CENTERBOX;-;-;11497712000508
9586;CENTERBOX;-;-;44642966000106
10977;CENTERBOX;-;-;11497712000850
11595;CENTERBOX;-;-;11497712000931
11851;CENTERBOX;-;-;11497712001075
11895;CENTERBOX;-;-;11497712001407
11896;CENTERBOX;-;-;11497712001318
11898;CENTERBOX;-;-;11497712001237
11899;CENTERBOX;-;-;11497712001156
11946;CENTERBOX;-;-;11497712001580
337;COMETA;-;-;6887668002394
548;COMETA;-;-;6887668002122
838;COMETA;-;-;6887668002203
874;COMETA;-;-;6887668001908
942;COMETA;-;-;6887668000189
950;COMETA;-;-;6887668000855
954;COMETA;-;-;6887668001746
958;COMETA;-;-;6887668000693
967;COMETA;-;-;6887668001312
976;COMETA;-;-;6887668000421
989;COMETA;-;-;6887668001231
1004;COMETA;-;-;6887668001827
1006;COMETA;-;-;6887668001665
1011;COMETA;-;-;6887668000936
1025;COMETA;-;-;6887668001070
1034;COMETA;-;-;6887668000502
1043;COMETA;-;-;6887668000260
1049;COMETA;-;-;6887668000340
1058;COMETA;-;-;6887668001150
1482;COMETA;-;-;6887668002041
2309;COMETA;-;-;6887668001401
2351;COMETA;-;-;6887668001584
4029;COMETA;-;-;6887668002718
4393;COMETA;-;-;6887668002637
4522;COMETA;-;-;6887668002475
4803;COMETA;-;-;6887668002807
9339;COMETA;-;-;6887668003528
9340;COMETA;-;-;6887668003013
9341;COMETA;-;-;6887668002980
9345;COMETA;-;-;6887668003285
9346;COMETA;-;-;6887668003447
9347;COMETA;-;-;6887668003609
9602;COMETA;-;-;6887668003790
9622;COMETA;-;-;6887668004095
9631;COMETA;-;-;6887668003366
10946;COMETA;-;-;6887668002556
10947;COMETA;-;-;6887668003870
10948;COMETA;-;-;6887668003951
11775;COMETA;-;-;6887668004338
11801;COMETA;-;-;6887668004680
11809;COMETA;-;-;6887668004257
11879;COMETA;-;-;6887668004508
12000;COMETA;-;-;6887668004419
12232;COMETA;-;-;6887668004761
;FORTAL REDE;-;-;7601157000111
;FORTAL REDE;-;-;33476776000131
;FORTAL REDE;-;-;23656105000107
2962;FORTAL REDE;-;-;28189036000184
;FORTAL REDE;-;-;28918783000106
;FORTAL REDE;-;-;32619236000105
;FORTAL REDE;-;-;7598438000162
;FORTAL REDE;-;-;41626692000165
;FORTAL REDE;-;-;38713861000190
;FORTAL REDE;-;-;34467434000118
;FORTAL REDE;-;-;5653461000187
;FORTAL REDE;-;-;11291060000127
;FORTAL REDE;-;-;26152549000195
;FORTAL REDE;-;-;36236292000103
;FORTAL REDE;-;-;5862122000100
3857;FORTAL REDE;-;-;12240767000177
;FORTAL REDE;-;-;48985597000105
;FORTAL REDE;-;-;8777251000199
;FORTAL REDE;-;-;7321844000183
;FORTAL REDE;-;-;33283627000156
2909;FRANGOLANDIA;-;-;3879760000966
9487;FRANGOLANDIA;-;-;3879760001423
9634;FRANGOLANDIA;-;-;3879760002071
12496;FRANGOLANDIA;-;-;3879760001342
206;G BARBOSA;-;-;39346861017641
214;G BARBOSA;-;-;39346861017560
223;G BARBOSA;-;-;39346861017137
232;G BARBOSA;-;-;39346861017307
245;G BARBOSA;-;-;39346861020278
793;G BARBOSA;-;-;39346861046820
804;G BARBOSA;-;-;39346861042247
3509;GPA;EXTRA;-;47508411140594
3638;GPA;EXTRA;-;47508411134004
3784;GPA;EXTRA;-;47508411103125
3823;GPA;EXTRA;-;47508411073030
3865;GPA;EXTRA;-;47508411215276
4026;GPA;EXTRA;-;47508411113945
3508;GPA;PAO DE ACUCAR;-;47508411036002
3533;GPA;PAO DE ACUCAR;-;47508411039958
3766;GPA;PAO DE ACUCAR;-;47508411059711
3815;GPA;PAO DE ACUCAR;-;47508411106817
3891;GPA;PAO DE ACUCAR;-;47508411107465
3944;GPA;PAO DE ACUCAR;-;47508411107201
3983;GPA;PAO DE ACUCAR;-;47508411106736
4009;GPA;PAO DE ACUCAR;-;47508411035707
4111;GPA;PAO DE ACUCAR;-;47508411034999
4141;GPA;PAO DE ACUCAR;-;47508411035960
4197;GPA;PAO DE ACUCAR;-;47508411093570
4221;GPA;PAO DE ACUCAR;-;47508411116880
4271;GPA;PAO DE ACUCAR;-;47508411107384
4284;GPA;PAO DE ACUCAR;-;47508411083930
4303;GPA;PAO DE ACUCAR;-;47508411107112
1149;MAX REDE;MERCANTIL FONSECA;-;9486439000140
9317;MAX REDE;MERCANTIL FONSECA;-;9486439000221
468;MAX REDE;SUPER CANADA;-;13014206000708
3053;MAX REDE;SUPER CANADA;-;13014206000627
284;MAX REDE;SUPERMERCADO SAO FRANCISCO;-;8442210000141
1967;MAX REDE;SUPERMERCADO SAO FRANCISCO;-;8442210000222
9318;MAX REDE;SUPERMERCADO SAO FRANCISCO;-;8442210000303
779;MAX REDE;-;-;27341665000115
;MAX REDE;SERAFIM;-;3489188000171
;MAX REDE;SERAFIM;-;3489188000252
;MAX REDE;SERAFIM;-;3489188000333
658;MAX REDE;BRASILEIRO;-;29760432000182
3249;MAX REDE;KALBIR;-;23390414000170
3765;MAX REDE;KALBIR;-;23390414000412
;MAX REDE;KALBIR;-;23390414000501
;MAX REDE;KALBIR;-;23390414000664
;MAX REDE;-;-;11433800000112
;MAX REDE;-;-;39540798000108
;MAX REDE;-;-;8944851000102
;MAX REDE;LIDER;-;4319145000100
;MAX REDE;LIDER;-;5772548000173
;MAX REDE;LIDER;-;4319145000291
;MAX REDE;-;-;30798456000100
;MAX REDE;-;-;11333644000118
;MAX REDE;-;-;57183464000106
;MAX REDE;-;-;13324392000196
;MAX REDE;EDP;-;26606211000166
;MAX REDE;EDP;-;26606211000247
9459;MAX REDE;MORANGUINHO;-;11659770000752
9460;MAX REDE;MORANGUINHO;-;11659770001058
9462;MAX REDE;MORANGUINHO;-;11659770000914
9463;MAX REDE;MORANGUINHO;-;11659770000671
9465;MAX REDE;MORANGUINHO;-;11659770000248
9466;MAX REDE;MORANGUINHO;-;11659770001210
9467;MAX REDE;MORANGUINHO;-;11659770000590
9468;MAX REDE;MORANGUINHO;-;11659770000833
9469;MAX REDE;MORANGUINHO;-;11659770000167
9470;MAX REDE;MORANGUINHO;-;11659770000329
9471;MAX REDE;MORANGUINHO;-;11659770001139
9671;MAX REDE;MORANGUINHO;-;11659770001309
11074;MAX REDE;MORANGUINHO;-;11659770001562
11310;MAX REDE;MORANGUINHO;-;11659770001724
11311;MAX REDE;MORANGUINHO;-;11659770001643
11865;MAX REDE;MORANGUINHO;-;11659770001805
12227;MAX REDE;MORANGUINHO;-;11659770001996
3087;MAX REDE;SUPER CANADA;-;13014206000384
9364;MIX MATEUS;-;-;3995515023612
9393;MIX MATEUS;-;-;3995515018538
9401;MIX MATEUS;-;-;3995515017647
9447;MIX MATEUS;-;-;3995515024180
9479;MIX MATEUS;-;-;3995515024503
9635;MIX MATEUS;-;-;3995515026638
10756;MIX MATEUS;-;-;3995515026808
10758;MIX MATEUS;-;-;3995515027871
10868;MIX MATEUS;-;-;3995515027790
11015;MIX MATEUS;-;-;3995515028681
11461;MIX MATEUS;-;-;3995515028410
11622;MIX MATEUS;-;-;3995515030155
11733;MIX MATEUS;-;-;3995515027600
11924;MIX MATEUS;-;-;3995515027367
12427;MIX MATEUS;-;-;3995515032018
4019;NOVA REDE;-;-;1735258000107
177;PINHEIRO;-;-;4163766000229
189;PINHEIRO;-;-;4163766001110
192;PINHEIRO;-;-;4163766000148
